date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:32:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Dec%202023%2001:32:06%20GMT	https://akademi.dexignlab.com/robots.txt		(from )
08:32:07	262695/262695	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:35:15%20GMT	https://akademi.dexignlab.com/xhtml/index.html	C:/My%20Web%20Sites/Dashboard%20Admin%20Siswa/akademi.dexignlab.com/xhtml/index.html	(from )
08:32:08	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Dec%202023%2001:32:10%20GMT	https://akademi.dexignlab.com/xhtml/social-image.png	C:/My%20Web%20Sites/Dashboard%20Admin%20Siswa/akademi.dexignlab.com/xhtml/social-image.png	(from https://akademi.dexignlab.com/xhtml/index.html)
08:32:08	508/508	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Mar%202023%2013:41:42%20GMT	https://akademi.dexignlab.com/xhtml/images/favicon.png	C:/My%20Web%20Sites/Dashboard%20Admin%20Siswa/akademi.dexignlab.com/xhtml/images/favicon.png	(from https://akademi.dexignlab.com/xhtml/index.html)
08:32:09	57095/57095	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Apr%202022%2000:32:24%20GMT	https://akademi.dexignlab.com/xhtml/vendor/wow-master/css/libs/animate.css	C:/My%20Web%20Sites/Dashboard%20Admin%20Siswa/akademi.dexignlab.com/xhtml/vendor/wow-master/css/libs/animate.css	(from https://akademi.dexignlab.com/xhtml/index.html)
08:32:10	11120/11120	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202020%2018:49:58%20GMT	https://akademi.dexignlab.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/My%20Web%20Sites/Dashboard%20Admin%20Siswa/akademi.dexignlab.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://akademi.dexignlab.com/xhtml/index.html)
08:32:10	10294/10294	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2017:12:34%20GMT	https://akademi.dexignlab.com/xhtml/vendor/bootstrap-select-country/css/bootstrap-select-country.min.css	C:/My%20Web%20Sites/Dashboard%20Admin%20Siswa/akademi.dexignlab.com/xhtml/vendor/bootstrap-select-country/css/bootstrap-select-country.min.css	(from https://akademi.dexignlab.com/xhtml/index.html)
08:32:11	4048/4048	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Jun%202021%2003:22:46%20GMT	https://akademi.dexignlab.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	C:/My%20Web%20Sites/Dashboard%20Admin%20Siswa/akademi.dexignlab.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	(from https://akademi.dexignlab.com/xhtml/index.html)
08:32:11	15731/15731	---M--	200	added ('OK')	text/css	date:Mon,%2020%20May%202019%2009:56:50%20GMT	https://akademi.dexignlab.com/xhtml/vendor/datepicker/css/bootstrap-datepicker.min.css	C:/My%20Web%20Sites/Dashboard%20Admin%20Siswa/akademi.dexignlab.com/xhtml/vendor/datepicker/css/bootstrap-datepicker.min.css	(from https://akademi.dexignlab.com/xhtml/index.html)
08:32:12	13920/13920	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Oct%201985%2004:15:00%20GMT	https://akademi.dexignlab.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Dashboard%20Admin%20Siswa/akademi.dexignlab.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	(from https://akademi.dexignlab.com/xhtml/index.html)
